Results from the 0th iteration     date:17/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=30 nLeg=500 pMin=0.001 pMax=1000.0
 
Degree of convergence : None
 
Current value for Z2 : 1

Datas for sigma_v(p) and sigma_s(p) :
p                                                  sigma_v(p)                                         sigma_s(p)                                        
(0.45508986056222733-1.09868411346781j)            (-0.09490381856571325+0.0046764587815819325j)      (-0.03708069435775068-0.05193742453918231j)       
(0.4354947889546855-1.090713395538299j)            (-0.10208817017643564-0.008939323238774303j)       (-0.029258180086822752-0.058753748617782736j)     
(0.4155492778885381-1.0829040596256372j)           (-0.10827481724518151-0.024709050035007854j)       (-0.019437565585698823-0.0648616514771576j)       
(0.39524705871180665-1.0752768189728328j)          (-0.11509346386291999-0.041753929252297324j)       (-0.009441146197057017-0.07060833101704911j)      
(0.37458299980549686-1.0678541210030912j)          (-0.12012249316153442-0.06086812263389346j)        (0.0035261940266852303-0.07425141695221892j)      
(0.3535533905932737-1.0606601717798212j)           (-0.12382025953876151-0.08295188192047906j)        (0.020436091652398698-0.07591321876705151j)       
(0.3321562595928083-1.0537209216802546j)           (-0.12677759242054737-0.10699424553681362j)        (0.04114437784422391-0.07403891714382019j)        
(0.31039172362327583-1.0470640009540144j)          (-0.12966751554998593-0.13331555184747554j)        (0.06767069606377284-0.06694190508671571j)        
(0.28826236224059837-1.0407185928407976j)          (-0.13680686557988617-0.1608259960267934j)         (0.10201208289314115-0.05510731023584937j)        
(0.26577360765445895-1.0347152316099664j)          (-0.1675005513939667-0.1841867299127115j)          (0.16327825643489255-0.06821303664346585j)        
(0.2429341358783226-1.0290855136357462j)           (-0.1924170125354773-0.1953764589880716j)          (0.23746271545153222-0.039008281851290655j)       
(0.21975623992627066-1.0238617118471285j)          (-0.22657502578814825-0.15194708232013748j)        (0.3281465544168892-0.08178665437617888j)         
(0.19625616095666984-1.0190762879752675j)          (-0.19461365537081476-0.07155787407563673j)        (0.3610378699217878-0.17081937905818484j)         
(0.17245434906208418-1.014761303218854j)           (-0.1253029271592664-0.04124505746380793j)         (0.3344634097991594-0.20400687467320575j)         
(0.1483756228142865-1.0109477362581745j)           (-0.04124374822077496-0.0318947983051844j)         (0.3139683062726963-0.20673245552545158j)         
(0.12404919670117776-1.0076647275766912j)          (-0.0037883991397721947-0.03985923849101779j)      (0.3071829439147899-0.1776381807158257j)          
(0.09950854917683412-1.0049387799061584j)          (0.027112405661146092-0.042701825707248946j)       (0.3090751531864184-0.14579867527349213j)         
(0.07479111179757293-1.0027929549034122j)          (0.04922298047048517-0.03845754282082893j)         (0.31412109798201104-0.11155111916174239j)        
(0.04993777183700203-1.0012461141278126j)          (0.06835719481226708-0.026252924758545085j)        (0.32082614291457995-0.07448636906995283j)        
(0.024992196032354218-1.0003122561792992j)         (0.0814466569370671-0.011660598043969834j)         (0.32625973047210377-0.036413701071647306j)       
(4.440892098500626e-16+1j)                         (0.08533622444608395+5.5966546794800135e-15j)      (0.32796769365567235+1.6834585889315334e-14j)     
(0.024992196032355106+1.0003122561792992j)         (0.08144665693706715+0.011660598043979164j)        (0.32625973047209744+0.036413701071654855j)       
(0.04993777183700292+1.0012461141278126j)          (0.06835719481228388+0.026252924758551198j)        (0.3208261429145985+0.07448636906996049j)         
(0.07479111179757382+1.0027929549034122j)          (0.049222980470481896+0.038457542820824454j)       (0.3141210979820067+0.11155111916174837j)         
(0.09950854917683498+1.0049387799061587j)          (0.027112405661134893+0.04270182570724563j)        (0.309075153186422+0.14579867527349194j)          
(0.12404919670117862+1.0076647275766915j)          (-0.003788399139781326+0.03985923849101803j)       (0.3071829439147962+0.17763818071582166j)         
(0.14837562281428737+1.0109477362581745j)          (-0.04124374822077316+0.03189479830518701j)        (0.31396830627267397+0.20673245552545408j)        
(0.17245434906208504+1.0147613032188543j)          (-0.1253029271592732+0.04124505746377956j)         (0.33446340979915584+0.20400687467320855j)        
(0.19625616095667067+1.0190762879752677j)          (-0.19461365537081832+0.07155787407560257j)        (0.3610378699217918+0.17081937905818484j)         
(0.21975623992627147+1.0238617118471287j)          (-0.2265750257881619+0.15194708232015056j)         (0.3281465544169148+0.08178665437615973j)         
(0.24293413587832347+1.0290855136357462j)          (-0.19241701253548144+0.19537645898805825j)        (0.23746271545153244+0.03900828185131059j)        
(0.26577360765445973+1.0347152316099666j)          (-0.1675005513939715+0.1841867299127056j)          (0.16327825643488306+0.06821303664347625j)        
(0.2882623622405992+1.0407185928407978j)           (-0.13680686557987987+0.16082599602679473j)        (0.1020120828931211+0.05510731023586466j)         
(0.3103917236232766+1.0470640009540146j)           (-0.12966751554997796+0.13331555184748176j)        (0.06767069606379765+0.0669419050867142j)         
(0.3321562595928091+1.0537209216802548j)           (-0.12677759242053768+0.1069942455368157j)         (0.04114437784423386+0.074038917143819j)          
(0.35355339059327445+1.0606601717798214j)          (-0.12382025953875928+0.08295188192047169j)        (0.02043609165239472+0.07591321876705234j)        
(0.37458299980549753+1.0678541210030916j)          (-0.12012249316153836+0.060868122633897966j)       (0.0035261940266750405+0.07425141695223338j)      
(0.3952470587118074+1.075276818972833j)            (-0.11509346386292314+0.041753929252299975j)       (-0.009441146197059505+0.070608331017052j)        
(0.41554927788853885+1.0829040596256374j)          (-0.10827481724518866+0.024709050035002046j)       (-0.019437565585708264+0.0648616514771563j)       
(0.43549478895468624+1.0907133955382993j)          (-0.10208817017643554+0.00893932323877575j)        (-0.029258180086828043+0.058753748617783666j)     
(0.46330951987487384-1.0791921567573988j)          (-0.10801747542054986+0.013615472825593278j)       (-0.04541033540414604-0.05890973983520009j)       
(0.44356672793078167-1.0708648103879501j)          (-0.11610688778029099-0.00037393522664689325j)     (-0.036497082241527985-0.06628414613812429j)      
(0.423453204516296-1.0626912140481448j)            (-0.1254009856403518-0.017053856504068102j)        (-0.026756848022397747-0.07529883992360066j)      
(0.4029608407762448-1.0546930544945756j)           (-0.13294680599117104-0.03513172109854479j)        (-0.014643497719165876-0.08231919884634287j)      
(0.3820826054908951-1.0468940335194918j)           (-0.14467239817815045-0.055203656913719354j)       (-0.0036801875232797586-0.09298821393602118j)     
(0.3608128626386678-1.0393199323815117j)           (-0.14730923284579756-0.0789158461218988j)         (0.018405658551273768-0.09616462806287329j)       
(0.33914773485945215-1.0319986366562202j)          (-0.15185773626388394-0.10322544715802746j)        (0.042136690047446426-0.09913943582140299j)       
(0.3170855115912218-1.0249601073510455j)           (-0.15589402665494906-0.12814563780138044j)        (0.07196206330192342-0.09926768341802421j)        
(0.2946270971178749-1.0182362821841038j)           (-0.1612661600625483-0.15150573133870454j)         (0.10931789714024741-0.09733298330853787j)        
(0.2717764890539718-1.0118608896496115j)           (-0.17014289662505788-0.16995389198833552j)        (0.15890987938554108-0.09789826518433906j)        
(0.24854127190387737-1.0058691584095802j)          (-0.18069293814091883-0.173015251651446j)          (0.21845797515312934-0.11391492975175703j)        
(0.2249331034790474-1.0002974062951058j)           (-0.17951912930010286-0.1542527086001327j)         (0.277119197295852-0.1404138337984883j)           
(0.2009681646485519-0.9951824974356248j)           (-0.15330857535927628-0.12529219333021424j)        (0.30865672012498874-0.17461291254286013j)        
(0.17666753601868843-0.9905611633225454j)          (-0.10753631780532638-0.10067248658545612j)        (0.3221588123957677-0.19515493185490493j)         
(0.1520574599593252-0.9864691942120046j)           (-0.0522777144623539-0.08889331744374689j)         (0.32644493681229075-0.19730336509477903j)        
(0.1271694444814179-0.982940520891123j)            (-0.00226438633069156-0.0802702357167724j)         (0.3337859856018415-0.18055090998933995j)         
(0.10204016843228896-0.9800062224158017j)          (0.033358905169072105-0.07359053482209552j)        (0.3411621310381158-0.1526413207967062j)          
(0.07671115656658789-0.977693511046168j)           (0.060744437028190705-0.06254927303938346j)        (0.34952868262654624-0.11943108332044633j)        
(0.05122820867032111-0.976024758581241j)           (0.05043119068915607-0.057671609020610054j)        (0.3432805606646384-0.08318068586988735j)         
(0.025640588156498664-0.9750166356329574j)         (0.09698784031217007-0.018370157014602824j)        (0.3643983504069417-0.03915101948392146j)         
(4.556259157007655e-16+0.9746794344808963j)        (0.10183815858974737+2.59689179474635e-15j)        (0.3664311972338766+1.1424909223218798e-14j)      
(0.025640588156499573+0.9750166356329574j)         (0.09698784031217221+0.018370157014601058j)        (0.36439835040694074+0.03915101948392198j)        
(0.05122820867032201+0.9760247585812412j)          (0.050431190689165746+0.05767160902060995j)        (0.3432805606646389+0.08318068586988801j)         
(0.07671115656658879+0.9776935110461681j)          (0.06074443702817983+0.0625492730394022j)          (0.3495286826265479+0.11943108332045599j)         
(0.10204016843228986+0.9800062224158018j)          (0.033358905169090625+0.07359053482210254j)        (0.3411621310381268+0.15264132079670265j)         
(0.1271694444814188+0.9829405208911233j)           (-0.002264386330684667+0.08027023571676858j)       (0.33378598560183487+0.18055090998934378j)        
(0.1520574599593261+0.9864691942120047j)           (-0.05227771446236989+0.0888933174437562j)         (0.3264449368122851+0.1973033650947719j)          
(0.1766675360186893+0.9905611633225456j)           (-0.10753631780536282+0.10067248658547111j)        (0.32215881239577226+0.19515493185488997j)        
(0.20096816464855274+0.995182497435625j)           (-0.1533085753592846+0.1252921933302169j)          (0.3086567201249832+0.17461291254285008j)         
